epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,80.452,0.67832,3.62606,0.95748,0.00489,0.96429,0.37518,0.36673,0.34086,3.46342,0.8241,0.000954475,0.000318158,0.000954475,0.000318158,0.000954475,0.000318158,0.000954475,0.000318158
30,82.5555,0.59356,3.55795,0.90494,0.00491,0.96429,0.30681,0.29856,0.3458,3.44383,0.82089,0.000912064,0.000304021,0.000912064,0.000304021,0.000912064,0.000304021,0.000912064,0.000304021
31,85.5404,0.6466,3.57333,0.91455,0.00544,1,0.27116,0.26005,0.37927,3.3953,0.82301,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884
32,88.0666,0.64239,3.60493,0.93005,0.00552,1,0.27752,0.26248,0.37947,3.36868,0.81928,0.00082724,0.000275747,0.00082724,0.000275747,0.00082724,0.000275747,0.00082724,0.000275747
33,89.8213,0.66621,3.54644,0.95808,0.00547,1,0.27794,0.26264,0.37646,3.35853,0.81877,0.000784829,0.00026161,0.000784829,0.00026161,0.000784829,0.00026161,0.000784829,0.00026161
34,92.1985,0.68434,3.52008,0.93991,0.00553,1,0.27997,0.26574,0.37135,3.33389,0.81409,0.000742417,0.000247472,0.000742417,0.000247472,0.000742417,0.000247472,0.000742417,0.000247472
35,94.1656,0.68859,3.49253,0.97185,0.00558,1,0.27935,0.26635,0.37051,3.30646,0.8125,0.000700006,0.000233335,0.000700006,0.000233335,0.000700006,0.000233335,0.000700006,0.000233335
36,96.083,0.52242,3.50012,0.86824,0.47089,0.21429,0.28005,0.26887,0.3717,3.28257,0.8081,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198
37,98.0673,0.57842,3.51397,0.89153,0.81911,0.21429,0.29937,0.28568,0.36698,3.25395,0.80752,0.000615182,0.000205061,0.000615182,0.000205061,0.000615182,0.000205061,0.000615182,0.000205061
38,101.207,0.52651,3.46289,0.90544,0.81627,0.18295,0.31334,0.2958,0.36272,3.23246,0.80613,0.000572771,0.000190924,0.000572771,0.000190924,0.000572771,0.000190924,0.000572771,0.000190924
39,103.594,0.57249,3.31116,0.92765,0.9236,0.14286,0.31268,0.29584,0.36899,3.20927,0.80743,0.000530359,0.000176786,0.000530359,0.000176786,0.000530359,0.000176786,0.000530359,0.000176786
40,105.757,0.58789,3.4572,0.93896,0.92535,0.14286,0.31995,0.30278,0.36539,3.19507,0.8078,0.000487948,0.000162649,0.000487948,0.000162649,0.000487948,0.000162649,0.000487948,0.000162649
41,119.336,0.41003,3.38048,0.80847,0.93275,0.14286,0.33342,0.30473,0.37736,3.18595,0.80615,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512
42,122.324,0.48548,3.27262,0.82453,0.92996,0.14286,0.34933,0.30051,0.38851,3.17452,0.80802,0.000403124,0.000134375,0.000403124,0.000134375,0.000403124,0.000134375,0.000403124,0.000134375
43,125.884,0.40587,3.24713,0.81151,0.92388,0.14286,0.3471,0.29956,0.39824,3.15732,0.81295,0.000360713,0.000120238,0.000360713,0.000120238,0.000360713,0.000120238,0.000360713,0.000120238
44,129.308,0.42145,3.21942,0.83447,0.92111,0.14286,0.34255,0.29067,0.40078,3.13778,0.81524,0.000318301,0.0001061,0.000318301,0.0001061,0.000318301,0.0001061,0.000318301,0.0001061
